Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Telangana,430.21,70,Large,12-04-2022,3,Cheese,Dynamix Dairies,956.86,19.12,18295.1632,55,Frozen,18-02-2022,14-04-2022,505,14.62,7383.1,Chandigarh,Online,451,17.15,55.21
Chandigarh,679.85,39,Large,17-05-2022,1,Milk,Amul,571.63,93.68,53550.2984,1,Polythene Packet,03-05-2022,04-05-2022,480,98.2,47136,Karnataka,Online,91,12.33,116.74
Tamil Nadu,43.5,33,Medium,05-01-2022,1,Milk,Sudha,234.32,14.61,3423.4152,21,Tetra Pack,02-01-2022,23-01-2022,190,16.3,3097,Telangana,Wholesale,44,33.15,99.45
Jharkhand,411.18,76,Small,21-06-2019,1,Milk,Raj,62.47,94.83,5924.0301,1,Polythene Packet,30-05-2019,31-05-2019,48,90.06,4322.88,Delhi,Wholesale,14,60.09,140.31
Tamil Nadu,660.68,25,Medium,20-02-2020,5,Ice Cream,Mother Dairy,249.49,89.82,22409.1918,25,Frozen,28-01-2020,22-02-2020,180,87.33,15719.4,Bihar,Retail,69,20.13,90.92
Bihar,467.23,46,Small,19-02-2019,2,Butter,Warana,351.25,51.05,17931.3125,32,Frozen,15-01-2019,16-02-2019,350,51,17850,Maharashtra,Wholesale,1,56.15,124.41
Uttar Pradesh,69.39,89,Medium,04-07-2022,5,Ice Cream,Palle2patnam,653.12,60.52,39526.8224,23,Frozen,27-05-2022,19-06-2022,148,61.4,9087.2,West Bengal,Online,505,85.4,100.04
Maharashtra,416.62,96,Medium,28-10-2020,10,Ghee,Mother Dairy,306.96,81.46,25004.9616,92,Ambient,10-09-2020,11-12-2020,62,78.91,4892.42,Karnataka,Wholesale,244,92.23,158.58
Karnataka,265.08,84,Small,06-04-2019,2,Butter,Parag Milk Foods,332.23,30.78,10226.0394,40,Frozen,26-03-2019,05-05-2019,328,27.15,8905.2,Telangana,Wholesale,4,72.73,175.3
Uttar Pradesh,529.82,15,Small,18-12-2019,1,Milk,Amul,313.25,32.66,10230.745,1,Polythene Packet,21-11-2019,22-11-2019,73,32.72,2388.56,Rajasthan,Online,240,37.04,97.71
Tamil Nadu,976.02,95,Small,24-02-2019,6,Curd,Amul,488.83,42.69,20868.1527,6,Refrigerated,13-02-2019,19-02-2019,167,41.02,6850.34,Delhi,Wholesale,321,97.56,36.85
Chandigarh,689.29,66,Large,21-07-2021,10,Ghee,Sudha,93.31,86.93,8111.4383,68,Ambient,25-05-2021,01-08-2021,76,89.11,6772.36,West Bengal,Online,17,54.14,57.36
Madhya Pradesh,392.76,89,Large,16-06-2020,2,Butter,Amul,901.18,53.26,47996.8468,34,Refrigerated,01-05-2020,04-06-2020,637,51.25,32646.25,Bihar,Wholesale,264,84.76,98.3
West Bengal,475.44,21,Small,23-10-2019,10,Ghee,Mother Dairy,51.63,52.64,2717.8032,62,Ambient,29-08-2019,30-10-2019,37,53.69,1986.53,Rajasthan,Online,14,20.21,103.84
Uttar Pradesh,580.01,20,Medium,07-10-2022,3,Cheese,Amul,254,31.29,7947.66,59,Frozen,26-08-2022,24-10-2022,222,34.02,7552.44,Delhi,Wholesale,32,67.02,103.94
Haryana,587.83,20,Medium,03-01-2021,2,Butter,Amul,650.03,57.57,37422.2271,31,Frozen,02-12-2020,02-01-2021,74,52.88,3913.12,Karnataka,Online,576,71.8,107.14
Karnataka,257.67,56,Large,26-09-2019,4,Yogurt,Dodla Dairy,365.86,69.14,25295.5604,25,Refrigerated,31-07-2019,25-08-2019,286,65.31,18678.66,Maharashtra,Online,79,40.27,33.03
Madhya Pradesh,314.25,52,Large,21-11-2022,1,Milk,Mother Dairy,448.09,75.81,33969.7029,2,Polythene Packet,18-11-2022,20-11-2022,329,71.75,23605.75,Haryana,Wholesale,119,83.63,87.78
Gujarat,91.39,35,Medium,01-09-2022,10,Ghee,Amul,346.96,60.81,21098.6376,86,Ambient,06-08-2022,31-10-2022,127,60.5,7683.5,Delhi,Retail,219,88.7,175.22
Kerala,234.19,28,Large,06-02-2022,6,Curd,Mother Dairy,120.49,82.44,9933.1956,6,Refrigerated,22-12-2021,28-12-2021,25,81.53,2038.25,Uttar Pradesh,Wholesale,95,41.61,78.62
Tamil Nadu,378.64,32,Medium,15-06-2022,10,Ghee,Raj,338,35.93,12144.34,63,Ambient,20-04-2022,22-06-2022,15,31.92,478.8,Kerala,Online,323,91.88,61.19
Bihar,791.28,13,Medium,15-03-2020,4,Yogurt,Amul,727.93,36.85,26824.2205,23,Refrigerated,29-02-2020,23-03-2020,578,33.43,19322.54,Bihar,Retail,149,44,123.04
Rajasthan,449.32,28,Small,26-01-2022,4,Yogurt,Amul,537.05,48.49,26041.5545,30,Frozen,24-12-2021,23-01-2022,69,51.52,3554.88,Delhi,Retail,468,24.87,156.18
Kerala,827.14,66,Medium,13-07-2020,8,Buttermilk,Mother Dairy,171.89,42.04,7226.2556,8,Refrigerated,24-06-2020,02-07-2020,150,46.04,6906,Haryana,Wholesale,21,23.42,50.53
Delhi,83.63,82,Medium,22-11-2022,3,Cheese,Amul,351.92,31.84,11205.1328,63,Refrigerated,08-10-2022,10-12-2022,27,28.5,769.5,West Bengal,Retail,324,45.13,146.71
Maharashtra,500.17,74,Medium,26-01-2022,1,Milk,Sudha,833.04,37.3,31072.392,22,Tetra Pack,28-12-2021,19-01-2022,280,40.12,11233.6,Gujarat,Online,553,22.61,24.8
West Bengal,676.47,15,Small,13-02-2022,9,Paneer,Raj,164.66,61.72,10162.8152,14,Refrigerated,25-12-2021,08-01-2022,14,57.35,802.9,Maharashtra,Retail,150,49.92,61.22
Tamil Nadu,762.07,70,Small,15-11-2021,8,Buttermilk,Sudha,948.97,48.5,46025.045,14,Refrigerated,02-11-2021,16-11-2021,568,43.84,24901.12,Jharkhand,Wholesale,380,37.89,193.63
West Bengal,141.62,85,Large,19-10-2020,9,Paneer,Sudha,272.32,91.07,24800.1824,7,Refrigerated,06-09-2020,13-09-2020,237,90.1,21353.7,Karnataka,Retail,35,12.45,117.28
Delhi,628.29,10,Large,12-08-2021,6,Curd,Raj,312.86,82.16,25704.5776,5,Refrigerated,27-07-2021,01-08-2021,171,84.4,14432.4,Chandigarh,Retail,141,95.91,156.48
Chandigarh,213.69,80,Large,20-09-2022,7,Lassi,Raj,273.95,19.1,5232.445,12,Refrigerated,12-09-2022,24-09-2022,91,17.16,1561.56,Bihar,Retail,182,60.21,49.25
Rajasthan,451.77,60,Small,25-08-2021,4,Yogurt,Amul,520.57,31.5,16397.955,28,Frozen,09-07-2021,06-08-2021,476,32.86,15641.36,West Bengal,Wholesale,44,36.81,157.46
Delhi,159.56,50,Small,21-06-2022,4,Yogurt,Dodla Dairy,601.41,43.67,26263.5747,26,Frozen,16-06-2022,12-07-2022,351,39.29,13790.79,Madhya Pradesh,Online,250,77.07,188.19
Telangana,393.21,86,Small,23-11-2020,9,Paneer,Amul,304.92,24.64,7513.2288,11,Refrigerated,02-10-2020,13-10-2020,284,22.2,6304.8,Uttar Pradesh,Wholesale,20,55.72,57.17
Delhi,760.61,57,Medium,28-12-2022,2,Butter,Mother Dairy,987.98,69,68170.62,36,Refrigerated,16-12-2022,21-01-2023,246,65.63,16144.98,Bihar,Online,741,98.97,64.19
Delhi,299.01,70,Large,27-03-2022,8,Buttermilk,Amul,76.53,86.26,6601.4778,9,Refrigerated,15-02-2022,24-02-2022,35,88.21,3087.35,Jharkhand,Wholesale,41,63.78,88.81
West Bengal,552.55,64,Large,10-08-2019,1,Milk,Sudha,513.42,76.65,39353.643,1,Polythene Packet,21-06-2019,22-06-2019,297,75.13,22313.61,Rajasthan,Retail,216,86.13,196.86
Uttar Pradesh,878.23,72,Large,06-11-2020,9,Paneer,Raj,553.89,35.2,19496.928,13,Refrigerated,21-09-2020,04-10-2020,522,39.54,20639.88,Rajasthan,Retail,31,95.82,68.61
Delhi,196.69,83,Small,06-05-2021,8,Buttermilk,Amul,801.45,57.51,46091.3895,12,Refrigerated,18-04-2021,30-04-2021,267,60.57,16172.19,Karnataka,Retail,534,89.01,81.61
Uttar Pradesh,772.69,30,Large,02-07-2022,3,Cheese,Amul,616.33,45.7,28166.281,52,Refrigerated,03-06-2022,25-07-2022,402,42.62,17133.24,Jharkhand,Wholesale,214,32.57,66.86
Uttar Pradesh,548.18,71,Small,13-02-2022,10,Ghee,Sudha,851.51,23.4,19925.334,135,Ambient,05-02-2022,20-06-2022,219,27.07,5928.33,West Bengal,Wholesale,632,40.78,110.08
Delhi,683.67,58,Large,18-05-2019,4,Yogurt,Palle2patnam,299.28,34.4,10295.232,29,Frozen,30-03-2019,28-04-2019,277,31,8587,Chandigarh,Online,22,16.92,120.15
Karnataka,283.17,41,Large,06-12-2021,3,Cheese,Britannia Industries,509.53,29.74,15153.4222,68,Frozen,06-11-2021,13-01-2022,195,31.99,6238.05,Chandigarh,Wholesale,314,96.59,113.47
Maharashtra,370.75,60,Medium,17-09-2019,3,Cheese,Britannia Industries,473.8,31.43,14891.534,49,Refrigerated,29-07-2019,16-09-2019,280,31.23,8744.4,Haryana,Retail,193,56.66,189.64
Telangana,879.18,77,Small,12-08-2020,6,Curd,Raj,833.57,93.26,77738.7382,6,Refrigerated,11-08-2020,17-08-2020,805,91.05,73295.25,Bihar,Retail,28,43.02,113.8
West Bengal,851.33,90,Large,14-05-2021,6,Curd,Mother Dairy,809.5,80.62,65261.89,7,Refrigerated,07-05-2021,14-05-2021,153,84.1,12867.3,Delhi,Online,656,93.75,86.31
Telangana,873.71,78,Large,11-02-2019,10,Ghee,Sudha,114.7,75.55,8665.585,122,Ambient,10-01-2019,12-05-2019,22,74.7,1643.4,Delhi,Wholesale,92,30.44,138.17
Kerala,960.61,40,Small,18-09-2019,2,Butter,Amul,140.43,53.43,7503.1749,35,Frozen,06-08-2019,10-09-2019,128,52.59,6731.52,Tamil Nadu,Wholesale,12,92.03,100.15
Delhi,772.15,41,Large,15-09-2022,4,Yogurt,Mother Dairy,590.83,49.02,28962.4866,26,Frozen,17-07-2022,12-08-2022,435,49.51,21536.85,Chandigarh,Online,155,22.19,58.33
Uttar Pradesh,478.54,20,Small,27-01-2019,10,Ghee,Sudha,792.59,59.56,47206.6604,106,Ambient,03-01-2019,19-04-2019,726,60.52,43937.52,Uttar Pradesh,Retail,66,63.91,159.72
Delhi,884.13,48,Medium,22-08-2021,3,Cheese,Passion Cheese,657.24,99.19,65191.6356,26,Frozen,25-06-2021,21-07-2021,631,100.45,63383.95,Jharkhand,Wholesale,26,26.28,65.48
Maharashtra,270.92,23,Medium,01-05-2020,4,Yogurt,Palle2patnam,239.22,21.33,5102.5626,26,Frozen,30-03-2020,25-04-2020,104,24.84,2583.36,Madhya Pradesh,Online,135,57.51,118
Chandigarh,363.89,79,Medium,16-09-2020,10,Ghee,Raj,768.63,32.55,25018.9065,125,Ambient,23-08-2020,26-12-2020,637,36.43,23205.91,Gujarat,Retail,131,53.81,27.1
Telangana,955.7,100,Large,17-09-2019,5,Ice Cream,Amul,388.51,29.65,11519.3215,25,Frozen,21-08-2019,15-09-2019,198,26.72,5290.56,West Bengal,Retail,190,88.47,96.67
Bihar,796.95,32,Large,27-04-2022,8,Buttermilk,Raj,397.33,32.39,12869.5187,9,Refrigerated,04-04-2022,13-04-2022,125,30.96,3870,Delhi,Online,272,70.81,160.15
Delhi,39.69,93,Large,25-01-2021,5,Ice Cream,Dodla Dairy,34.61,72.6,2512.686,28,Frozen,17-12-2020,14-01-2021,24,73.86,1772.64,Bihar,Retail,10,33.25,188.85
Rajasthan,763.08,39,Small,05-07-2019,2,Butter,Mother Dairy,168.98,13.18,2227.1564,28,Frozen,31-05-2019,28-06-2019,65,9.21,598.65,Telangana,Retail,103,58.78,65.12
Madhya Pradesh,703.23,61,Small,14-03-2020,3,Cheese,Britannia Industries,37.63,36.46,1371.9898,40,Refrigerated,13-02-2020,24-03-2020,13,31.88,414.44,Tamil Nadu,Wholesale,24,93.62,75.96
Karnataka,889.62,33,Medium,22-07-2020,10,Ghee,Mother Dairy,265.64,42.34,11247.1976,133,Ambient,02-06-2020,13-10-2020,47,38.48,1808.56,Karnataka,Wholesale,218,91.2,141.21
Karnataka,232.58,68,Large,15-01-2022,2,Butter,Mother Dairy,43.8,92.62,4056.756,26,Refrigerated,13-01-2022,08-02-2022,9,95.32,857.88,Maharashtra,Retail,34,14.78,112.01
Chandigarh,590.47,75,Large,20-04-2022,6,Curd,Mother Dairy,410.79,66.24,27210.7296,5,Refrigerated,09-03-2022,14-03-2022,54,63.97,3454.38,Madhya Pradesh,Retail,356,37.13,79.5
Haryana,762,93,Small,18-05-2022,7,Lassi,Mother Dairy,678.13,50.66,34354.0658,13,Refrigerated,28-04-2022,11-05-2022,526,49.4,25984.4,West Bengal,Online,152,54.19,56.09
Rajasthan,321.55,48,Medium,15-12-2019,9,Paneer,Mother Dairy,307.25,15.66,4811.535,11,Refrigerated,21-11-2019,02-12-2019,24,17.37,416.88,Madhya Pradesh,Online,283,93.72,87.63
Jharkhand,725.53,35,Small,01-04-2021,9,Paneer,Sudha,131.11,98.36,12895.9796,9,Refrigerated,11-03-2021,20-03-2021,10,102.76,1027.6,Jharkhand,Wholesale,121,82.32,115.55
Bihar,850.94,26,Large,01-12-2021,8,Buttermilk,Raj,792.68,77.24,61226.6032,10,Refrigerated,27-11-2021,07-12-2021,61,79.92,4875.12,Gujarat,Retail,731,86.7,174.64
Chandigarh,429.75,77,Small,26-08-2022,5,Ice Cream,Mother Dairy,899.77,42.12,37898.3124,29,Frozen,29-06-2022,28-07-2022,509,43.16,21968.44,Delhi,Online,390,19.34,154.01
Maharashtra,552.53,55,Small,16-11-2020,1,Milk,Raj,216.86,69.91,15160.6826,25,Tetra Pack,20-10-2020,14-11-2020,23,73.41,1688.43,Haryana,Online,193,30.08,46.07
Delhi,843.84,12,Medium,06-02-2020,7,Lassi,Mother Dairy,875.58,75.29,65922.4182,18,Refrigerated,02-02-2020,20-02-2020,42,73.5,3087,Rajasthan,Retail,833,85.27,109.45
Delhi,505.83,34,Large,14-11-2019,9,Paneer,Mother Dairy,602.68,84.02,50637.1736,12,Refrigerated,05-11-2019,17-11-2019,312,82.4,25708.8,West Bengal,Wholesale,290,21.1,189.21
Bihar,29.92,80,Medium,27-01-2019,6,Curd,Mother Dairy,863.98,15.77,13624.9646,5,Refrigerated,19-12-2018,24-12-2018,105,15.86,1665.3,Bihar,Retail,758,91.52,138.76
Haryana,161.28,26,Large,06-10-2021,10,Ghee,Sudha,434.35,39.28,17061.268,131,Ambient,14-08-2021,23-12-2021,75,39.66,2974.5,Kerala,Wholesale,359,23.38,162.88
Kerala,29.03,76,Large,04-10-2022,7,Lassi,Amul,556.7,13.37,7443.079,17,Refrigerated,15-09-2022,02-10-2022,471,12.75,6005.25,Maharashtra,Online,85,98.61,167.4
Madhya Pradesh,166.54,60,Medium,04-06-2020,10,Ghee,Raj,388.15,76.7,29771.105,115,Ambient,05-05-2020,28-08-2020,387,77.97,30174.39,Chandigarh,Retail,1,84.74,20.41
Delhi,637.95,70,Medium,27-06-2020,10,Ghee,Raj,697.67,28.79,20085.9193,83,Ambient,01-05-2020,23-07-2020,186,28.39,5280.54,Madhya Pradesh,Online,511,65.1,28.95
Madhya Pradesh,692.91,99,Small,24-04-2022,9,Paneer,Sudha,845.77,29.42,24882.5534,8,Refrigerated,07-03-2022,15-03-2022,672,25.45,17102.4,Chandigarh,Retail,173,11.32,160.13
Delhi,743.39,38,Large,20-09-2020,8,Buttermilk,Mother Dairy,834.03,97.04,80934.2712,8,Refrigerated,15-09-2020,23-09-2020,85,98.75,8393.75,Tamil Nadu,Retail,749,72.61,73.56
Haryana,705.92,71,Small,20-10-2022,7,Lassi,Amul,973.01,12.84,12493.4484,16,Refrigerated,12-10-2022,28-10-2022,286,11.32,3237.52,Maharashtra,Wholesale,687,92.96,155.11
Rajasthan,354.9,35,Large,12-01-2022,7,Lassi,Mother Dairy,569.49,53.68,30570.2232,13,Refrigerated,11-12-2021,24-12-2021,204,56.13,11450.52,Maharashtra,Retail,365,33.86,89.13
Maharashtra,119.34,27,Medium,22-12-2022,1,Milk,Amul,362.17,80.86,29285.0662,29,Tetra Pack,24-10-2022,22-11-2022,284,80.5,22862,Bihar,Wholesale,78,91.6,57.23
Delhi,127.74,32,Medium,26-03-2021,3,Cheese,Dynamix Dairies,292.16,92.86,27129.9776,69,Refrigerated,31-01-2021,10-04-2021,177,88.29,15627.33,Haryana,Wholesale,115,87.91,27.03
Chandigarh,362.18,34,Large,02-12-2020,6,Curd,Amul,287.82,78.94,22720.5108,7,Refrigerated,23-10-2020,30-10-2020,270,81.44,21988.8,West Bengal,Wholesale,17,49.81,104.34
Tamil Nadu,632.56,38,Large,08-08-2022,4,Yogurt,Amul,78.61,51.29,4031.9069,25,Frozen,16-07-2022,10-08-2022,51,54.49,2778.99,Chandigarh,Retail,27,27.23,47.54
Madhya Pradesh,360.55,67,Small,11-03-2022,5,Ice Cream,Mother Dairy,844.73,79.44,67105.3512,24,Frozen,11-01-2022,04-02-2022,766,82.88,63486.08,Chandigarh,Online,78,83.31,51.2
Chandigarh,881.75,74,Medium,15-12-2022,10,Ghee,Amul,426.48,93.08,39696.7584,115,Ambient,19-11-2022,14-03-2023,324,92.73,30044.52,Karnataka,Online,102,71.3,96.39
Kerala,729.52,64,Small,14-09-2019,2,Butter,Mother Dairy,39.13,17.04,666.7752,36,Frozen,11-09-2019,17-10-2019,12,12.58,150.96,Uttar Pradesh,Online,27,95.8,184.81
Chandigarh,325.3,14,Small,12-06-2021,8,Buttermilk,Sudha,778.77,93.25,72620.3025,13,Refrigerated,10-06-2021,23-06-2021,728,95.65,69633.2,Kerala,Online,50,24.54,178.03
Maharashtra,187.73,75,Medium,06-07-2022,4,Yogurt,Mother Dairy,530.22,78.1,41410.182,27,Refrigerated,03-07-2022,30-07-2022,301,73.22,22039.22,Gujarat,Wholesale,229,10.52,82.91
Haryana,827.65,40,Small,24-08-2020,9,Paneer,Raj,371.6,39.71,14756.236,10,Refrigerated,21-07-2020,31-07-2020,165,36.83,6076.95,Maharashtra,Retail,206,72.62,113.54
Bihar,189.16,40,Medium,03-06-2022,8,Buttermilk,Mother Dairy,479.54,24.68,11835.0472,13,Refrigerated,08-05-2022,21-05-2022,43,24.14,1038.02,Kerala,Online,436,45.92,61.95
Gujarat,958.35,45,Medium,21-05-2021,8,Buttermilk,Mother Dairy,269.69,11.93,3217.4017,10,Refrigerated,26-03-2021,05-04-2021,77,15.44,1188.88,Delhi,Retail,192,99.38,139.81
Rajasthan,417.65,20,Small,23-09-2021,2,Butter,Warana,53.34,46.38,2473.9092,25,Refrigerated,12-08-2021,06-09-2021,29,42.91,1244.39,Chandigarh,Online,24,74.38,158.42
Haryana,307.69,91,Small,26-11-2020,5,Ice Cream,Mother Dairy,288.12,70.72,20375.8464,30,Frozen,05-10-2020,04-11-2020,63,71.88,4528.44,Chandigarh,Online,225,46.33,99.29
Rajasthan,280.28,55,Large,14-01-2020,8,Buttermilk,Mother Dairy,102.05,52.36,5343.338,14,Refrigerated,28-11-2019,12-12-2019,16,50.56,808.96,West Bengal,Online,86,84.67,86.18
Tamil Nadu,274.74,24,Large,16-02-2020,1,Milk,Amul,933.28,46.59,43481.5152,25,Tetra Pack,07-02-2020,03-03-2020,485,44.83,21742.55,Madhya Pradesh,Wholesale,448,82.71,174.08
Delhi,522.08,97,Large,10-09-2022,3,Cheese,Passion Cheese,207.35,96.89,20090.1415,50,Frozen,23-08-2022,12-10-2022,67,97.48,6531.16,Gujarat,Wholesale,140,67.77,95.38
Jharkhand,218.43,12,Small,03-03-2019,3,Cheese,Dynamix Dairies,387.24,61.66,23877.2184,51,Frozen,24-01-2019,16-03-2019,70,58.3,4081,Jharkhand,Wholesale,317,91.37,34.8
Delhi,550.51,18,Large,15-07-2020,1,Milk,Mother Dairy,946.88,65.09,61632.4192,2,Polythene Packet,28-06-2020,30-06-2020,658,69.31,45605.98,Bihar,Wholesale,288,98.86,176.89
Chandigarh,217.49,78,Medium,22-05-2021,7,Lassi,Mother Dairy,113.75,67.47,7674.7125,15,Refrigerated,19-04-2021,04-05-2021,42,67.63,2840.46,Rajasthan,Retail,71,42.03,98.04
Rajasthan,781.33,78,Medium,22-07-2022,5,Ice Cream,Amul,648.17,50.34,32628.8778,26,Frozen,30-06-2022,26-07-2022,155,48.09,7453.95,Haryana,Retail,493,41.66,165.89
Maharashtra,659.59,62,Large,01-08-2022,2,Butter,Mother Dairy,335.63,80.81,27122.2603,29,Frozen,05-07-2022,03-08-2022,241,84.86,20451.26,Karnataka,Online,94,61.29,37.98
Tamil Nadu,389.5,33,Large,04-01-2022,4,Yogurt,Amul,335.77,72.01,24178.7977,25,Refrigerated,26-11-2021,21-12-2021,302,69.31,20931.62,Kerala,Retail,33,89.15,50.02
Haryana,156.18,39,Medium,19-10-2022,8,Buttermilk,Sudha,140.5,24.08,3383.24,11,Refrigerated,06-10-2022,17-10-2022,1,27.5,27.5,West Bengal,Wholesale,139,16.12,132.94
Rajasthan,693.46,41,Large,23-12-2021,8,Buttermilk,Amul,201.45,23.66,4766.307,14,Refrigerated,26-11-2021,10-12-2021,193,19.21,3707.53,Tamil Nadu,Online,8,55.15,171.51
Delhi,528.93,26,Medium,20-01-2019,2,Butter,Parag Milk Foods,210.36,80.1,16849.836,38,Refrigerated,02-12-2018,09-01-2019,197,83.02,16354.94,Bihar,Retail,13,91.66,112.36
Delhi,442.73,74,Large,08-04-2020,7,Lassi,Sudha,53.88,29.07,1566.2916,16,Refrigerated,27-03-2020,12-04-2020,6,29.66,177.96,Uttar Pradesh,Online,47,22.96,63.07
Bihar,922.91,22,Small,22-03-2019,9,Paneer,Amul,4.71,50.15,236.2065,14,Refrigerated,14-03-2019,28-03-2019,2,54.01,108.02,Chandigarh,Wholesale,2,27.82,84.36
Tamil Nadu,998.55,100,Medium,28-06-2019,7,Lassi,Raj,368.47,43.71,16105.8237,13,Refrigerated,15-06-2019,28-06-2019,36,40.43,1455.48,Haryana,Retail,332,65.83,114.41
Tamil Nadu,655.96,67,Large,03-06-2019,5,Ice Cream,Palle2patnam,475.07,26.14,12418.3298,23,Frozen,10-05-2019,02-06-2019,218,28.05,6114.9,Haryana,Retail,257,63.98,115.99
Delhi,319.54,31,Large,06-01-2020,4,Yogurt,Palle2patnam,251.73,80.55,20276.8515,24,Refrigerated,10-12-2019,03-01-2020,107,76.53,8188.71,Maharashtra,Retail,144,82.68,176.96
Bihar,170.19,86,Small,10-08-2020,4,Yogurt,Dodla Dairy,836.24,69.41,58043.4184,23,Refrigerated,26-06-2020,19-07-2020,127,70.15,8909.05,Delhi,Online,709,76.7,80.23
Delhi,124.25,22,Small,06-02-2022,3,Cheese,Amul,593.95,57.09,33908.6055,69,Refrigerated,26-12-2021,05-03-2022,71,52.51,3728.21,Bihar,Wholesale,522,60.71,50.52
Madhya Pradesh,668.45,86,Large,09-02-2021,2,Butter,Warana,65.85,54.62,3596.727,36,Frozen,24-01-2021,01-03-2021,13,52.51,682.63,Tamil Nadu,Retail,52,50.7,30.87
Jharkhand,895.34,51,Medium,28-01-2021,8,Buttermilk,Amul,868.06,68.4,59375.304,14,Refrigerated,04-12-2020,18-12-2020,494,70.12,34639.28,Jharkhand,Retail,374,77.61,79.24
Madhya Pradesh,731.29,20,Small,26-02-2019,7,Lassi,Mother Dairy,59.17,68.23,4037.1691,14,Refrigerated,02-01-2019,16-01-2019,45,71.74,3228.3,Rajasthan,Wholesale,14,28.94,168.87
Tamil Nadu,853.05,11,Small,04-08-2019,10,Ghee,Sudha,888.11,71.54,63535.3894,138,Ambient,23-07-2019,08-12-2019,353,68.14,24053.42,Kerala,Wholesale,535,37.75,147.07
Karnataka,285.99,28,Medium,16-04-2022,4,Yogurt,Amul,148.85,32.46,4831.671,28,Frozen,12-04-2022,10-05-2022,138,33.61,4638.18,Uttar Pradesh,Wholesale,10,16.41,62.4
Maharashtra,623.18,71,Medium,25-04-2020,7,Lassi,Amul,698.34,72.75,50804.235,15,Refrigerated,07-04-2020,22-04-2020,488,72.56,35409.28,Maharashtra,Retail,210,21.16,140.38
Gujarat,790.8,78,Large,20-08-2020,8,Buttermilk,Mother Dairy,839.68,36.59,30723.8912,11,Refrigerated,27-07-2020,07-08-2020,301,40.62,12226.62,Bihar,Online,538,32.63,134.41
Karnataka,268.3,86,Large,13-03-2019,10,Ghee,Sudha,615.81,17.43,10733.5683,143,Ambient,06-03-2019,27-07-2019,322,14.47,4659.34,Tamil Nadu,Wholesale,293,48.72,43.71
Uttar Pradesh,326.54,48,Large,09-03-2021,3,Cheese,Amul,338.79,84.66,28681.9614,55,Frozen,29-01-2021,25-03-2021,32,83.14,2660.48,Delhi,Online,306,61.48,99.28
Delhi,75.81,21,Small,13-12-2022,3,Cheese,Passion Cheese,100.26,14.47,1450.7622,88,Refrigerated,03-12-2022,01-03-2023,8,9.96,79.68,Telangana,Retail,92,83.87,25.47
Bihar,32.9,48,Medium,10-10-2021,10,Ghee,Sudha,742.3,83.62,62071.126,104,Ambient,10-09-2021,23-12-2021,57,85.71,4885.47,Bihar,Wholesale,685,85.25,95.18
West Bengal,150.44,88,Small,18-04-2019,8,Buttermilk,Mother Dairy,642.65,93.66,60190.599,12,Refrigerated,05-04-2019,17-04-2019,518,91.36,47324.48,Bihar,Wholesale,124,98.01,115.41
Telangana,636.01,44,Large,24-09-2021,6,Curd,Sudha,845.79,38.34,32427.5886,6,Refrigerated,27-08-2021,02-09-2021,708,41.03,29049.24,West Bengal,Online,137,51.22,49.88
Karnataka,109.65,10,Medium,19-01-2022,2,Butter,Mother Dairy,522.76,85.78,44842.3528,26,Refrigerated,15-12-2021,10-01-2022,424,81.71,34645.04,Maharashtra,Wholesale,98,74.49,75.63
Chandigarh,220.42,36,Large,24-03-2021,7,Lassi,Mother Dairy,450.59,47.43,21371.4837,15,Refrigerated,08-03-2021,23-03-2021,8,44.5,356,Rajasthan,Wholesale,442,85.03,171.29
Telangana,499.65,22,Medium,14-10-2020,6,Curd,Amul,695.02,49.56,34445.1912,7,Refrigerated,29-09-2020,06-10-2020,285,45.74,13035.9,Kerala,Retail,410,63.89,107.11
Tamil Nadu,963.9,57,Small,13-02-2019,6,Curd,Sudha,775.56,91.21,70738.8276,6,Refrigerated,09-02-2019,15-02-2019,287,94.56,27138.72,Bihar,Retail,488,19.56,96.94
Madhya Pradesh,123.53,37,Medium,24-12-2022,2,Butter,Warana,412.57,25.11,10359.6327,29,Frozen,22-12-2022,20-01-2023,304,27.85,8466.4,Uttar Pradesh,Retail,108,63.17,147.5
Chandigarh,696.91,34,Medium,22-09-2021,5,Ice Cream,Mother Dairy,27.64,27.1,749.044,21,Frozen,30-07-2021,20-08-2021,21,28.69,602.49,Delhi,Wholesale,6,61.62,105.64
Chandigarh,649.74,77,Small,05-02-2020,8,Buttermilk,Raj,87.89,92,8085.88,7,Refrigerated,17-01-2020,24-01-2020,45,94.57,4255.65,Tamil Nadu,Online,42,76.75,56.9
Gujarat,878.1,29,Large,28-02-2019,3,Cheese,Dynamix Dairies,568.77,36.58,20805.6066,64,Frozen,14-02-2019,19-04-2019,397,34.52,13704.44,Maharashtra,Wholesale,171,12.2,86.74
Bihar,537.54,98,Medium,15-05-2019,1,Milk,Amul,618.02,63.42,39194.8284,29,Tetra Pack,20-04-2019,19-05-2019,605,59.26,35852.3,Chandigarh,Wholesale,13,16.88,76.01
